instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
1,2011/1/1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13
2,2011/1/1,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32
3,2011/1/1,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27
4,2011/1/1,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10
5,2011/1/1,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1
6,2011/1/1,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1
7,2011/1/1,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0
8,2011/1/1,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2
9,2011/1/1,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7
10,2011/1/1,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6
11,2011/1/1,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24
12,2011/1/1,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30
13,2011/1/1,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55
14,2011/1/1,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47
15,2011/1/1,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71
16,2011/1/1,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70
17,2011/1/1,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52
18,2011/1/1,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52
19,2011/1/1,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26
20,2011/1/1,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31
21,2011/1/1,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25
22,2011/1/1,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31
23,2011/1/1,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17
24,2011/1/1,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24
25,2011/1/2,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13
26,2011/1/2,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16
27,2011/1/2,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8
28,2011/1/2,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4
29,2011/1/2,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1
30,2011/1/2,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2
31,2011/1/2,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1
32,2011/1/2,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8
33,2011/1/2,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19
34,2011/1/2,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46
35,2011/1/2,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54
36,2011/1/2,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73
37,2011/1/2,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64
38,2011/1/2,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55
39,2011/1/2,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55
40,2011/1/2,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67
41,2011/1/2,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58
42,2011/1/2,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43
43,2011/1/2,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29
44,2011/1/2,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17
45,2011/1/2,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20
46,2011/1/2,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9
47,2011/1/2,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8
48,2011/1/3,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5
49,2011/1/3,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2
50,2011/1/3,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1
51,2011/1/3,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3
52,2011/1/3,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30
53,2011/1/3,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63
54,2011/1/3,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153
55,2011/1/3,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81
56,2011/1/3,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33
57,2011/1/3,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41
58,2011/1/3,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48
59,2011/1/3,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53
60,2011/1/3,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66
61,2011/1/3,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58
62,2011/1/3,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67
63,2011/1/3,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146
64,2011/1/3,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148
65,2011/1/3,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102
66,2011/1/3,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49
67,2011/1/3,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49
68,2011/1/3,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20
69,2011/1/3,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11
70,2011/1/4,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5
71,2011/1/4,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2
72,2011/1/4,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1
73,2011/1/4,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2
74,2011/1/4,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4
75,2011/1/4,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36
76,2011/1/4,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92
77,2011/1/4,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177
78,2011/1/4,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98
79,2011/1/4,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37
80,2011/1/4,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50
81,2011/1/4,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66
82,2011/1/4,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79
83,2011/1/4,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54
84,2011/1/4,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48
85,2011/1/4,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68
86,2011/1/4,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202
87,2011/1/4,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179
88,2011/1/4,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110
89,2011/1/4,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53
90,2011/1/4,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48
91,2011/1/4,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34
92,2011/1/4,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9
93,2011/1/5,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6
94,2011/1/5,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6
95,2011/1/5,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2
96,2011/1/5,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2
97,2011/1/5,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3
98,2011/1/5,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33
99,2011/1/5,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87
100,2011/1/5,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192
101,2011/1/5,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109
102,2011/1/5,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53
103,2011/1/5,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34
104,2011/1/5,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74
105,2011/1/5,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65
106,2011/1/5,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52
107,2011/1/5,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55
108,2011/1/5,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85
109,2011/1/5,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186
110,2011/1/5,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166
111,2011/1/5,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127
112,2011/1/5,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82
113,2011/1/5,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40
114,2011/1/5,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41
115,2011/1/5,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18
116,2011/1/6,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11
117,2011/1/6,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4
118,2011/1/6,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2
119,2011/1/6,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1
120,2011/1/6,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4
121,2011/1/6,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36
122,2011/1/6,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95
123,2011/1/6,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216
124,2011/1/6,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116
125,2011/1/6,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42
126,2011/1/6,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57
127,2011/1/6,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78
128,2011/1/6,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55
129,2011/1/6,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59
130,2011/1/6,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54
131,2011/1/6,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74
132,2011/1/6,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163
133,2011/1/6,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158
134,2011/1/6,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109
135,2011/1/6,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66
136,2011/1/6,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48
137,2011/1/6,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51
138,2011/1/6,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19
139,2011/1/7,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13
140,2011/1/7,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5
141,2011/1/7,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1
142,2011/1/7,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1
143,2011/1/7,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5
144,2011/1/7,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26
145,2011/1/7,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76
146,2011/1/7,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190
147,2011/1/7,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125
148,2011/1/7,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47
149,2011/1/7,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48
150,2011/1/7,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50
151,2011/1/7,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64
152,2011/1/7,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43
153,2011/1/7,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63
154,2011/1/7,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82
155,2011/1/7,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178
156,2011/1/7,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116
157,2011/1/7,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92
158,2011/1/7,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50
159,2011/1/7,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39
160,2011/1/7,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34
161,2011/1/7,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14
